alphabotsec,vscode-eclipse-keybindings,0.12.0
angular,ng-template,0.1100.3
eamodio,gitlens,11.0.6
EditorConfig,EditorConfig,0.16.4
Gaulomatic,vscode-icontheme-nomo-dark-macos,1.0.3
GitHub,github-vscode-theme,2.0.0
golang,go,0.21.0
Gruntfuggly,todo-tree,0.0.196
humao,rest-client,0.24.4
jeppeandersen,vscode-kafka,0.10.0
mechatroner,rainbow-csv,1.8.0
ms-kubernetes-tools,vscode-kubernetes-tools,1.2.1
ms-vscode,references-view,0.0.74
ms-vscode,vscode-typescript-tslint-plugin,1.3.3
mtxr,sqltools,0.23.0
mtxr,sqltools-driver-pg,0.2.0
naco-siren,gradle-language,0.2.3
PascalReitermann93,vscode-yaml-sort,2.7.2
Pivotal,vscode-spring-boot,1.24.0
psioniq,psi-header,1.14.1
redhat,java,0.74.0
redhat,vscode-knative,0.9.1
redhat,vscode-microprofile,0.1.1
redhat,vscode-openshift-connector,0.2.0
redhat,vscode-quarkus,1.7.0
redhat,vscode-tekton-pipelines,0.10.0
redhat,vscode-xml,0.14.0
redhat,vscode-yaml,0.14.0
richardwillis,vscode-gradle,3.5.2
richie5um2,vscode-sort-json,1.19.2
slevesque,vscode-zipexplorer,0.3.1
SonarSource,sonarlint-vscode,1.19.0
VisualStudioExptTeam,vscodeintellicode,1.2.10
vscjava,vscode-java-debug,0.30.0
vscjava,vscode-java-dependency,0.16.0
vscjava,vscode-java-test,0.27.0
vscjava,vscode-maven,0.27.1
vscjava,vscode-spring-boot-dashboard,0.2.0
vscjava,vscode-spring-initializr,0.6.1